village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Magraniya,0,3,32,31,4,0,0,35,0,12,23,0,2,33,0,0,35,15,20,20,15,35,0,24,11,23,12
Jamner,0,47,31,32,42,5,0,64,15,28,50,12,25,42,0,0,75,59,19,32,47,63,16,35,43,70,7
Umarsingi,0,0,7,6,1,0,0,6,1,1,6,0,1,6,0,0,7,6,1,6,1,7,0,6,1,6,1
Deoli,0,0,15,3,12,0,0,14,1,11,4,1,5,9,0,0,15,7,8,2,13,15,0,8,7,15,0
Dhabla Husainpur,0,14,6,10,9,0,0,18,2,8,12,4,6,10,0,0,19,16,4,9,11,16,4,11,9,18,2
Kheda Bolda,0,5,23,10,18,0,0,19,9,13,15,2,14,12,4,0,24,21,7,9,19,26,2,14,14,28,0
Dugdha,0,10,21,12,19,0,0,26,5,15,16,0,17,14,3,0,28,29,2,17,14,31,0,22,9,31,0
Jhadla,0,2,5,4,2,1,0,5,2,4,3,0,4,3,1,0,6,7,0,3,4,7,0,5,2,7,0
Raipur,0,7,25,5,27,0,1,25,6,17,15,1,11,20,1,0,31,29,3,16,15,31,1,18,14,30,2
Dholpur,0,1,4,0,5,0,0,4,1,4,1,1,1,3,0,0,5,4,1,2,3,4,1,2,3,5,0
Raghunathpura,0,2,2,3,1,0,2,2,0,1,3,0,2,2,0,0,4,3,1,1,3,4,0,3,1,4,0
Tanda Khurd,0,1,39,15,23,2,0,23,17,14,26,6,9,25,0,0,40,28,12,10,30,33,7,20,20,36,4
Kharkhar,0,8,11,7,10,2,0,14,5,8,11,1,2,16,0,0,19,15,4,9,10,15,4,12,7,18,1
Panwadiya,0,0,41,1,40,0,2,39,0,40,1,0,12,29,0,0,41,18,23,1,40,41,0,13,28,41,0
Hannu Khedi,0,1,37,0,38,0,3,34,1,37,1,0,11,27,0,0,38,27,11,2,36,38,0,18,20,38,0
Tungni,0,14,10,11,13,0,0,23,1,10,14,6,6,12,0,0,24,22,2,14,10,22,2,6,18,24,0
Lahauri (Gangala Khedi),0,0,32,1,31,0,0,32,0,32,0,12,19,1,0,0,32,18,14,20,12,32,0,2,30,32,0
Giglakhedi,0,0,7,0,7,0,0,7,0,7,0,1,3,3,0,0,7,6,1,2,5,7,0,0,7,7,0
Mohammadpur,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Saliya,0,0,16,0,16,0,0,16,0,16,0,0,1,15,0,0,16,13,3,2,14,16,0,9,7,16,0
Lalpura,0,0,5,0,5,0,0,5,0,5,0,0,0,5,0,0,5,5,0,0,5,5,0,1,4,5,0
Awantipura,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,2,0,2,2,0,0,2,2,0
