village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gordih,0,33,175,29,54,125,6,186,16,75,133,4,125,78,0,179,28,107,101,138,70,135,69,43,165,85,121
Chaliama,1,6,141,58,59,31,35,109,4,117,31,2,31,115,0,142,6,131,17,139,9,124,24,48,100,117,31
Lakri,0,2,109,38,19,54,7,100,4,58,53,4,55,52,0,86,25,46,65,84,27,108,3,18,93,56,55
Bandhdih,0,0,32,8,13,11,3,29,0,21,11,2,15,15,1,26,5,27,5,26,6,27,5,6,26,21,10
Adardih,0,1,1,2,0,0,1,1,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,1,1,2,0
Pharenga,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1
Burudih,0,0,3,2,1,0,0,3,0,3,0,0,0,3,0,3,0,3,0,3,0,3,0,0,3,3,0
Bareda,0,1,4,3,1,1,1,3,1,5,0,0,1,4,0,4,1,5,0,5,0,5,0,1,4,5,0
