village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sikabeda,0,1,9,1,5,4,0,7,3,2,8,2,5,3,0,1,9,0,,9,1,4,6,9,1,5,5,8,2
Haradavol,0,0,5,1,2,2,0,1,4,1,4,0,1,4,0,0,5,0,,5,0,1,4,3,2,1,4,4,1
Panasadiha,0,0,11,0,10,1,0,5,6,2,9,1,4,6,0,3,8,0,,10,1,5,6,9,2,5,6,9,2
Kanto,0,3,30,3,23,7,3,14,16,7,26,4,16,13,0,3,30,0,,18,15,10,23,24,9,12,21,15,18
Pandua,0,5,15,0,12,8,1,14,5,6,14,5,8,7,0,1,19,0,,14,6,4,16,7,13,6,14,10,10
Baruan,0,6,48,2,30,22,0,26,28,9,45,14,22,18,1,3,50,0,,23,31,15,39,35,19,21,33,18,36
Kantipal,0,9,45,2,32,20,5,24,25,14,40,13,20,21,0,3,51,0,,8,46,9,45,32,22,18,36,11,43
Sunduria,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,1,0,0,1,0,1,0,1
Janghar,0,0,2,0,1,1,0,2,0,1,1,0,2,0,0,0,2,0,,0,2,0,2,2,0,0,2,1,1
Bankhidi,0,0,3,0,3,0,0,1,2,1,2,1,1,1,0,0,3,0,,0,3,1,2,1,2,2,1,1,2
Balakati,0,0,5,0,0,5,4,1,0,5,0,4,1,0,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Mathianendi,0,1,4,0,4,1,2,1,2,0,5,1,3,1,0,0,5,0,,2,3,1,4,1,4,3,2,2,3
Khamarnendi,0,3,12,2,8,5,4,8,3,4,11,0,6,9,0,1,14,0,,6,9,6,9,7,8,6,9,6,9
Sunduria,0,0,2,0,2,0,0,2,0,1,1,1,0,1,0,0,2,0,,0,2,1,1,1,1,0,2,1,1
Janghar,0,1,5,0,4,2,1,5,0,2,4,2,2,2,0,0,6,0,,2,4,2,4,5,1,3,3,3,3
Bankhidi,0,0,3,0,3,0,0,1,2,1,2,1,1,1,0,0,3,0,,0,3,1,2,1,2,2,1,1,2
Balakati,0,0,27,1,13,13,6,13,8,10,17,12,8,7,0,3,24,0,,12,15,12,15,22,5,12,15,17,10
Mathianendi,0,1,8,0,8,1,3,2,4,1,8,1,5,3,0,1,8,0,,3,6,2,7,4,5,5,4,4,5
Khamarnendi,0,4,39,4,26,13,12,25,6,10,33,1,19,23,0,2,41,0,,16,27,13,30,18,25,14,29,21,22
Bahabaradanga,0,0,3,1,1,1,1,2,0,1,2,1,2,0,0,0,3,0,,3,0,1,2,2,1,2,1,1,2
Dumuribandha,0,0,4,0,4,0,1,2,1,0,4,0,2,2,0,0,4,0,,2,2,1,3,1,3,3,1,3,1
Malarpada,0,0,2,0,0,2,2,0,0,1,1,2,0,0,0,0,2,0,,1,1,1,1,1,1,1,1,2,0
Jalinanda,0,1,12,1,8,4,2,8,3,2,11,2,7,4,0,0,13,0,,12,1,5,8,9,4,5,8,10,3
Kundakot,0,1,2,0,1,2,0,1,2,1,2,2,0,1,0,0,3,0,,3,0,2,1,2,1,2,1,2,1
Tulasibani,0,0,2,0,2,0,0,1,1,1,1,1,0,1,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Taratara,0,0,4,0,2,2,0,3,1,1,3,0,2,2,0,0,4,0,,0,4,0,4,1,3,2,2,0,4
Nahaguna,0,0,6,0,4,2,0,1,5,1,5,1,3,2,0,2,4,0,,2,4,0,6,1,5,1,5,2,4
Kolimati,0,0,9,1,6,2,1,3,5,3,6,0,5,4,0,1,8,0,,0,9,1,8,7,2,2,7,3,6
Dudugaon,0,0,7,0,5,2,0,4,3,1,6,0,3,4,0,0,7,0,,2,5,4,3,7,0,4,3,0,7
Paikchatra,1,2,67,0,0,70,7,58,5,65,5,34,31,5,0,9,61,0,,70,0,66,4,68,2,52,18,70,0
Bandha,0,1,2,0,3,0,0,3,0,0,3,1,1,1,0,1,2,0,,1,2,0,3,2,1,1,2,1,2
Bhalughara,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Deojharan,0,1,2,0,0,3,0,3,0,3,0,2,1,0,0,1,2,0,,3,0,3,0,3,0,2,1,3,0
Ulibasa,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,,1,0,0,1,0,1,1,0,1,0
Ratuan,0,0,3,0,0,3,2,0,1,3,0,3,0,0,0,3,0,0,,3,0,2,1,3,0,1,2,3,0
Belda,0,0,7,0,0,7,0,6,1,7,0,4,2,1,0,1,6,0,,7,0,7,0,6,1,7,0,7,0
Golabandha,0,0,4,0,0,4,3,0,1,4,0,4,0,0,0,2,2,0,,4,0,4,0,4,0,2,2,4,0
Baniajodi,0,0,45,0,0,45,0,42,3,43,2,22,20,3,0,22,23,0,,45,0,39,6,45,0,39,6,45,0
