village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chhan Talavdi,0,3,29,12,17,3,11,21,0,18,14,12,20,0,0,0,32,0,,32,0,22,10,32,0,0,32,32,0
Chhabapura,0,3,33,12,18,6,11,25,0,22,14,29,7,0,0,0,36,0,,36,0,26,10,36,0,0,36,36,0
Maruva,0,0,31,0,27,4,0,28,3,21,10,0,23,8,0,0,31,0,,31,0,28,3,31,0,0,31,31,0
Tajpura,0,2,14,9,4,3,4,12,0,4,12,6,10,0,0,0,16,0,,16,0,11,5,16,0,0,16,12,4
Nani Umarvan,0,28,9,2,28,7,14,22,1,20,17,32,5,0,0,0,37,1,,37,0,30,7,37,0,0,37,34,3
Bedhiyapura,0,6,29,18,15,2,7,28,0,21,14,17,16,2,0,0,35,1,,27,8,31,4,35,0,0,35,35,0
Maswad,0,11,33,0,38,6,0,41,3,22,22,21,22,1,0,0,44,0,,34,10,33,11,44,0,0,44,44,0
Rinchhbar,0,21,17,17,17,4,15,22,1,20,18,24,9,5,0,0,38,0,,38,0,21,17,38,0,0,38,38,0
Badharpuri,0,2,34,6,29,1,7,29,0,21,15,13,21,2,0,0,36,0,,35,1,27,9,36,0,0,36,36,0
Nana Handiya,0,17,14,5,20,6,2,27,2,14,17,23,8,0,0,0,31,0,,30,1,18,13,31,0,0,31,31,0
Halol,0,14,23,18,15,4,1,36,0,22,15,28,4,5,0,0,37,0,,33,4,30,7,37,0,0,37,37,0
Intwadi,0,24,16,12,22,6,10,29,1,23,17,37,3,0,0,0,40,3,,40,0,31,9,40,0,0,40,40,0
Tadia,0,2,32,20,7,7,9,25,0,12,22,17,17,0,0,0,34,0,,34,0,20,14,34,0,0,34,34,0
Bhinda,0,0,36,9,19,8,3,33,0,10,26,18,18,0,0,0,36,0,,36,0,14,22,36,0,0,36,36,0
Gopipura,0,14,43,13,34,10,11,46,0,22,35,33,22,2,0,0,57,0,,56,1,36,21,57,0,0,57,51,6
Arad,0,9,28,9,25,3,8,29,0,21,16,18,11,8,0,0,37,0,,37,0,26,11,37,0,0,37,32,5
Palanpur,0,28,7,6,21,8,13,22,0,20,15,34,1,0,0,0,35,0,,35,0,25,10,35,0,0,35,35,0
Sonavinti,0,16,20,17,14,5,12,24,0,10,26,31,5,0,0,0,36,8,,36,0,19,17,36,0,0,36,36,0
Ved,0,27,8,21,4,10,19,16,0,21,14,35,0,0,0,0,35,0,,33,2,23,12,35,0,0,35,35,0
Mota Chadva,0,17,19,0,35,1,0,33,3,21,15,31,3,2,0,0,36,0,,35,1,23,13,36,0,0,36,36,0
Talavdi,0,20,15,26,6,3,13,22,0,8,27,31,4,0,0,0,35,0,,35,0,29,6,35,0,0,35,35,0
Kota Maida,0,9,20,0,27,2,0,18,11,25,4,24,5,0,0,0,29,0,,27,2,25,4,29,0,0,29,29,0
Vintoj,0,22,17,25,9,5,20,19,0,25,14,38,1,0,0,0,39,0,,39,0,25,14,39,0,0,39,39,0
Bhat,0,5,30,18,16,1,7,28,0,21,14,21,14,0,0,0,35,0,,35,0,24,11,35,0,0,35,35,0
Kanteli,0,4,31,7,26,2,15,20,0,21,14,23,3,9,0,0,35,0,,23,12,24,11,35,0,0,35,35,0
Moti Umarvan,0,19,27,0,37,9,0,42,4,21,25,32,6,8,0,0,46,1,,45,1,26,20,46,0,0,46,46,0
Jimiyapura,0,16,19,9,25,1,4,27,4,21,14,28,7,0,0,0,35,2,,35,0,25,10,35,0,0,35,28,7
Rameshra,0,16,22,18,18,2,9,28,1,21,17,24,12,2,0,0,38,4,,31,7,20,18,38,0,0,38,38,0
Vav,0,36,3,25,9,5,23,16,0,25,14,38,1,0,0,0,39,1,,38,1,29,10,39,0,0,39,39,0
Panch Khobla,0,14,1,1,14,0,1,13,1,2,13,15,0,0,0,0,15,0,,14,1,1,14,13,2,0,15,15,0
Sudhara,0,0,35,21,14,0,6,29,0,15,20,5,24,6,0,0,35,0,,35,0,14,21,28,7,0,35,35,0
Sultanpura,0,0,35,23,12,0,8,27,0,12,23,11,11,13,0,0,35,0,,34,1,16,19,35,0,0,35,35,0
