village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chandanimal,3,10,4,12,2,3,12,3,2,10,7,12,0,5,0,6,11,16,1,14,3,17,0,4,13,17,0
Tihadipali,9,25,7,34,3,4,34,6,1,22,19,33,1,7,0,10,31,40,1,38,3,41,0,13,28,41,0
Brahmanidei,0,1,13,12,2,0,0,0,14,12,2,1,0,13,0,12,2,10,4,4,10,12,2,1,13,13,1
Bandabahal,0,0,31,18,11,2,0,10,21,25,6,0,0,31,0,12,19,28,3,6,25,27,4,3,28,30,1
Ekagudi,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
Ranekela,0,1,16,9,8,0,0,7,10,17,0,0,2,15,0,7,10,12,5,3,14,17,0,1,16,17,0
Kendukhunti,0,3,5,8,0,0,6,0,2,7,1,1,3,4,0,1,7,8,0,3,5,8,0,5,3,8,0
Anlaposhi,0,0,19,16,2,1,0,2,17,16,3,0,0,19,0,12,7,16,3,6,13,13,6,3,16,19,0
Bheluapal,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,0,2,0,0,2,2,0,0,2,2,0
Bamloikela,0,0,10,8,2,0,0,1,9,8,2,0,0,10,0,6,4,8,2,4,6,9,1,3,7,10,0
Pudhiakhaman,0,1,3,2,2,0,2,2,0,2,2,0,1,3,0,2,2,4,0,1,3,4,0,2,2,4,0
Pandiadhipa,0,0,4,3,1,0,0,1,3,4,0,0,0,4,0,3,1,3,1,0,4,4,0,2,2,4,0
Kusumi,0,0,21,16,5,0,0,2,19,19,2,0,0,21,0,18,3,17,4,6,15,15,6,3,18,21,0
Satkama,0,31,51,67,14,1,0,49,33,68,14,0,43,39,0,82,0,63,19,17,65,77,5,11,71,82,0
Bandubas,0,3,1,4,0,0,0,3,1,3,1,0,3,1,0,4,0,4,0,2,2,4,0,0,4,4,0
Kirasasan,0,7,20,19,3,5,0,15,12,24,3,0,8,19,0,27,0,20,7,6,21,27,0,2,25,27,0
Kuturachuan,0,3,19,17,4,1,1,5,16,18,4,0,4,18,0,22,0,18,4,2,20,21,1,3,19,22,0
Paruabhadi,0,10,12,8,4,10,10,6,6,18,4,5,0,17,0,16,6,22,0,7,15,22,0,8,14,20,2
Pandarikata,0,15,5,5,8,7,8,11,1,8,12,1,0,19,0,18,2,20,0,2,18,20,0,6,14,14,6
Patrapali,0,10,23,6,5,22,9,13,11,23,10,9,1,23,0,28,5,33,0,15,18,33,0,12,21,33,0
Ramtileimal,0,21,5,17,4,5,18,4,4,24,2,0,4,22,0,16,10,26,0,2,24,25,1,11,15,26,0
Jatiapali (San),0,26,19,8,14,23,18,11,16,39,6,5,4,36,0,37,8,45,0,13,32,45,0,26,19,41,4
Sahajbahal,0,13,6,6,5,8,18,1,0,16,3,1,5,13,0,15,4,19,0,1,18,19,0,9,10,13,6
Baghiajungle,0,0,2,1,1,0,0,1,1,2,0,0,1,1,0,0,2,1,1,0,2,1,1,0,2,2,0
Lundrudihi,0,0,13,9,3,1,7,4,2,12,1,10,0,3,0,12,1,7,6,11,2,13,0,2,11,13,0
Salebhadi,0,0,7,5,0,2,5,0,2,7,0,4,1,2,0,7,0,5,2,4,3,7,0,2,5,7,0
Hinjerkela,0,0,5,4,1,0,2,0,3,5,0,1,0,4,0,2,3,3,2,1,4,5,0,0,5,5,0
Kurmloikela,0,2,15,15,2,0,13,4,0,17,0,14,0,3,0,17,0,9,8,11,6,17,0,5,12,17,0
Janda,0,0,9,7,1,1,5,2,2,9,0,5,0,4,0,6,3,4,5,4,5,9,0,2,7,9,0
Tanmura,0,2,16,9,7,2,2,7,9,17,1,2,0,16,0,8,10,13,5,8,10,17,1,2,16,18,0
Gosainpada,0,2,4,6,0,0,4,2,0,6,0,5,0,1,0,6,0,3,3,5,1,6,0,1,5,6,0
Sudaloi,0,0,5,3,1,1,3,0,2,5,0,3,0,2,0,5,0,3,2,3,2,5,0,0,5,5,0
Tileimal (B),0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
