village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Hansapura,0,10,25,3,27,5,34,1,0,9,26,31,4,0,0,0,35,0,,30,5,35,0,35,0,17,18,35,0
Bhulvan,0,0,35,7,28,0,17,18,0,22,13,13,16,6,0,0,35,2,,32,3,25,10,35,0,0,35,31,4
Chamarwada,0,0,40,10,28,2,30,10,0,24,16,13,23,4,0,0,40,0,,40,0,18,22,40,0,0,40,40,0
Sajanpura,0,0,35,0,25,10,21,14,0,22,13,12,12,11,0,0,35,0,,35,0,13,22,35,0,0,35,35,0
Virampura,0,0,35,2,27,6,35,0,0,25,10,8,18,9,0,0,35,0,,34,1,21,14,35,0,5,30,35,0
Gamdi Shekhlal,0,12,23,2,27,6,23,12,0,22,13,28,4,3,0,0,35,0,,35,0,13,22,35,0,1,34,35,0
Songir,0,0,34,0,27,7,27,7,0,24,10,12,12,10,0,0,34,0,,34,0,13,21,34,0,2,32,30,4
Chandpur,0,20,15,9,25,1,28,7,0,28,7,23,9,3,0,0,35,0,,35,0,13,22,35,0,0,35,35,0
Parvata,0,9,36,6,34,5,45,0,0,39,6,33,12,0,0,0,45,0,,38,7,45,0,45,0,14,31,45,0
Sanoli,0,0,36,5,30,1,32,4,0,27,9,14,12,10,0,0,36,2,,36,0,30,6,36,0,0,36,34,2
Sinhadra,0,15,20,2,27,6,22,13,0,20,15,24,11,0,0,0,35,0,,23,12,30,5,35,0,9,26,35,0
Kandevar,0,0,35,0,30,5,15,20,0,22,13,12,20,3,1,0,34,18,,34,1,31,4,35,0,1,34,31,4
Malu,0,7,28,0,25,10,29,6,0,31,4,19,10,6,0,0,35,0,,35,0,13,22,35,0,0,35,25,10
Undi,0,0,36,13,23,0,16,20,0,23,13,12,20,4,0,0,36,0,,34,2,27,9,36,0,0,36,34,2
Kavitha,0,0,50,1,46,3,36,14,0,38,12,17,30,3,0,0,50,3,,48,2,31,19,50,0,14,36,48,2
Sarsinda (Chhachha),0,15,20,11,22,2,11,15,9,17,18,33,2,0,0,0,35,0,,31,4,35,0,35,0,24,11,35,0
Anandpura,0,7,28,2,30,3,31,3,1,22,13,21,10,4,0,0,35,0,,34,1,11,24,35,0,0,35,25,10
Kasumbiya,0,7,31,0,36,2,28,10,0,24,14,22,13,3,0,0,38,0,,38,0,16,22,38,0,0,38,38,0
Kanteshwar,0,3,32,1,25,9,35,0,0,22,13,22,8,5,0,0,35,0,,26,9,25,10,35,0,5,30,32,3
Fatepur,0,0,35,12,20,3,23,12,0,22,13,18,12,5,0,0,35,0,,17,18,29,6,35,0,1,34,35,0
Talakpur,0,0,35,21,14,0,27,8,0,25,10,22,13,0,0,0,35,0,,14,21,35,0,35,0,0,35,35,0
Gojpur,0,1,34,7,26,2,28,7,0,26,9,15,12,8,0,0,35,0,,30,5,31,4,35,0,11,24,35,0
Geharpura,0,1,16,5,12,0,9,8,0,5,12,2,5,10,0,0,17,0,,15,2,15,2,17,0,4,13,17,0
Akakheda,0,10,25,11,24,0,34,1,0,25,10,21,11,3,0,0,35,0,,35,0,29,6,35,0,1,34,35,0
Amroli,0,12,20,11,20,1,23,9,0,14,18,20,8,4,0,0,32,2,,27,5,32,0,32,0,14,18,32,0
Vadadla (Chorangla),0,0,37,5,30,2,23,14,0,27,10,16,10,11,0,0,37,0,,31,6,29,8,37,0,7,30,37,0
Pipaliya,0,1,39,22,15,3,40,0,0,31,9,14,18,8,0,0,40,1,,40,0,38,2,40,0,0,40,40,0
Lachhras,0,3,33,1,35,0,14,22,0,23,13,28,8,0,0,0,36,0,,27,9,26,10,36,0,7,29,36,0
Vatvatiya,0,4,31,0,33,2,32,3,0,21,14,14,16,5,0,0,35,0,,33,2,26,9,35,0,5,30,28,7
Chorangla,0,8,28,8,28,0,34,2,0,22,14,15,17,4,0,0,36,9,,36,0,20,16,36,0,5,31,36,0
Timba,0,10,25,5,30,0,26,8,1,27,8,31,2,2,0,0,35,0,,35,0,13,22,35,0,0,35,33,2
Kadvakui,0,15,20,2,23,10,15,0,20,27,8,28,6,1,0,0,35,0,,35,0,11,24,35,0,0,35,35,0
Saradiya,0,0,39,13,26,0,36,3,0,24,15,17,19,3,0,0,39,0,,39,0,35,4,39,0,2,37,39,0
Sardarpura,0,5,30,0,29,6,25,8,2,19,16,22,13,0,0,0,35,2,,29,6,24,11,35,0,11,24,35,0
Damoli,0,5,30,6,27,2,32,3,0,24,11,25,7,3,0,0,35,0,,35,0,32,3,35,0,6,29,34,1
Vadiya (Raipur),0,7,28,1,30,4,29,6,0,22,13,30,5,0,0,0,35,0,,35,0,13,22,35,0,9,26,35,0
Karali,0,4,31,5,25,5,34,1,0,25,10,19,13,3,0,0,35,0,,35,0,29,6,35,0,1,34,32,3
Indral,0,9,26,6,21,8,35,0,0,26,9,18,13,4,0,0,35,0,,35,0,13,22,35,0,3,32,32,3
Ramsari,0,7,28,0,31,4,28,7,0,27,8,25,9,1,0,0,35,0,,35,0,13,22,35,0,0,35,27,8
Shreegam Dhanka,0,8,26,1,31,2,27,7,0,30,4,19,6,9,0,0,34,0,,34,0,13,21,34,0,1,33,31,3
Padvan,0,0,35,0,35,0,32,3,0,21,14,24,11,0,0,0,35,0,,21,14,28,7,35,0,11,24,35,0
Nandpur,0,4,31,0,25,10,34,1,0,28,7,20,12,3,0,0,35,0,,35,0,29,6,35,0,2,33,35,0
Garda,0,1,32,1,29,3,18,15,0,21,12,12,15,6,0,0,33,0,,33,0,11,22,33,0,0,33,26,7
Bihora,0,0,35,10,25,0,23,12,0,22,13,9,21,5,0,0,35,0,,35,0,27,8,35,0,3,32,35,0
Fata,0,1,33,3,28,3,31,3,0,22,12,20,12,2,0,0,34,0,,31,3,29,5,34,0,1,33,30,4
